DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1990-0723-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Wiebke,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Kph,,,,1990,2,28,1990,3,1,18,,,,,,,320000,746256,350000,816217,42.88073219,,2007-05-09,2023-09-25
1991-0004-GBR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,Undine,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Wales,,,No,No,No,,,Kph,,,,1991,1,5,1991,1,6,48,,,,,,,480000,1073904,900000,2013570,44.69672184,,2007-05-05,2023-09-25
1991-0483-GBR,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,°C,,,,1991,2,14,1991,2,14,,,,,,,,200000,447460,,,44.69672184,,2003-07-01,2023-09-25
1993-0098-GBR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Scotland, Perth & Tayside",,,No,No,No,,,Km2,,,,1993,1,23,1993,1,23,,,600,,600,,,,,37000,78043,47.40975397,,2003-07-01,2023-09-25
1993-0237-GBR,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Km2,,,,1993,12,20,1993,12,31,4,,,,,,,75000,158195,150000,316391,47.40975397,,2007-05-05,2023-09-25
1994-0048-GBR,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,Km2,,,,1994,1,7,1994,1,12,3,,,,,,,,,90000,185010,48.6459381,,2007-05-06,2023-09-25
1994-0589-GBR,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Glasgow , Scotland",Heavy rains,,No,No,No,,,Km2,,,,1994,12,7,1994,12,12,4,,700,,700,,,46900,96411,146000,300128,48.6459381,,2006-07-13,2023-09-25
1995-0451-GBR,Yes,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Scotland,,Flood,No,No,No,,160,Kph,,,,1995,12,15,1995,12,31,9,,,,,,,480000,959795,650000,1299723,50.01065676,,2007-05-06,2023-09-25
1996-0252-GBR,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lilli,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,Scotland,,,No,No,No,,120,Kph,,,,1996,10,27,1996,10,30,5,,12000,,12000,,,240000,466231,300000,582789,51.47657574,,2007-05-06,2023-09-25
1997-0004-GBR,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,,,No,No,No,,,°C,,,,1997,12,4,1997,12,4,14,,,,,,,,,,,52.67993394,,2003-07-01,2023-09-25
