year,min_temp_change,max_temp_change,total_temp_change,disaster_count
1899,8.991666666666788,-12.175000000000068,21.166666666666856,0.0
1916,-6.183333333333508,-10.100000000000023,16.28333333333353,0.0
1969,6.900000000000205,1.3249999999999318,8.225000000000136,0.0
1987,1.724999999999909,-4.100000000000023,5.824999999999932,1.0
1981,0.8250000000000455,11.225000000000023,12.050000000000068,1.0
1897,-12.75,3.1666666666667425,15.916666666666742,0.0
1972,4.316666666666606,-5.43333333333328,9.749999999999886,1.0
1905,8.74166666666656,2.824999999999932,11.566666666666492,0.0
1896,-5.508333333333212,7.458333333333371,12.966666666666583,0.0
1931,3.158333333333303,0.0,3.158333333333303,0.0
1925,-0.10000000000002274,-26.608333333333235,26.708333333333258,0.0
1903,-11.858333333333235,5.308333333333167,17.1666666666664,0.0
